dairy	milk dairy farm|cow milk selling|buffalo milk delivery|curd paneer butter|cattle rearing dairy|milk collection centre|fresh milk shop|paal pannai|பால் பண்ணை|மாடு வளர்ப்பு பால் விற்பனை|தயிர் வெண்ணெய் விற்பனை|பால் விநியோகம்|दूध डेयरी|गाय भैंस पालन|दही पनीर बेचना|दूध वितरण
retail	grocery kirana shop|general store essentials|provision shop rice oil|small supermarket|vegetable retail stall|daily household goods|petty shop|maligai kadai|மளிகை கடை|பலசரக்கு விற்பனை|காய்கறி கடை|அரிசி மளிகை விற்பனை|किराना दुकान|राशन की दुकान|सब्जी बेचना|घरेलू सामान बिक्री
food	idli dosa breakfast stall|tea snacks shop|bakery cakes bread|home catering meals|tiffin centre restaurant|juice stall|pickle snacks production|unavagam|உணவகம்|இட்லி தோசை கடை|தேநீர் சிற்றுண்டி|வீட்டு சமையல் விற்பனை|चाय नाश्ता दुकान|इडली डोसा खाना|टिफिन भोजन सेवा|बेकरी मिठाई
tailoring	tailoring sewing garments|blouse stitching|school uniform sewing|clothing alterations|saree embroidery|dress making|readymade textile shop|thaiyal kadai|தையல் கடை|ரவிக்கை தைத்தல்|பள்ளி சீருடை தையல்|ஆடை தயாரிப்பு|सिलाई दुकान|कपड़े सिलना|स्कूल वर्दी बनाना|साड़ी कढ़ाई
agriculture	organic vegetables farming|paddy cultivation|rice flour milling|millet processing|coconut oil pressing|seed fertilizer shop|farm produce trading|vivasayam|விவசாயம்|காய்கறி சாகுபடி|அரிசி ஆலை|விதை உர விற்பனை|खेती कृषि|धान की खेती|बीज खाद दुकान|अनाज प्रसंस्करण
poultry	poultry chicken farm|egg production|broiler birds|layer hen rearing|country chicken breeding|quail farm|egg wholesale|kozhi pannai|கோழி பண்ணை|முட்டை விற்பனை|நாட்டுக்கோழி வளர்ப்பு|காடை வளர்ப்பு|मुर्गी पालन|अंडे बेचना|ब्रायलर फार्म|देसी मुर्गी
fish	fish selling stall|fish farming pond|seafood retail|prawn shrimp farming|dry fish processing|fresh fish shop|aquaculture business|meen kadai|மீன் கடை|மீன் வளர்ப்பு|இறால் பண்ணை|கருவாடு விற்பனை|मछली पालन|मछली की दुकान|झींगा पालन|सूखी मछली
repair	mobile phone repair|bicycle repair workshop|motorcycle mechanic|electrical appliance servicing|pump motor repair|computer laptop repair|welding repair shop|பழுது பார்க்கும் கடை|மொபைல் பழுது நீக்கம்|மின்சாதன பழுது|இருசக்கர வாகன பழுது|मोबाइल मरम्मत|बाइक मैकेनिक|बिजली उपकरण सुधार|कंप्यूटर रिपेयर
craft	pottery clay pots|handmade basket weaving|palm leaf handicrafts|wood carving artisan|handloom crafts|bamboo products|terracotta toys|கைவினை பொருட்கள்|மண்பாண்டம் தயாரிப்பு|பனை ஓலை கூடை|மூங்கில் பொருட்கள்|हस्तशिल्प|मिट्टी के बर्तन|बांस की टोकरी|लकड़ी की नक्काशी
manufacturing	paper plate manufacturing|soap making unit|candle production|incense agarbatti factory|coir rope unit|brick making|packaging boxes production|உற்பத்தி தொழில்|காகித தட்டு தயாரிப்பு|சோப்பு தயாரித்தல்|கயிறு உற்பத்தி|कागज प्लेट बनाना|साबुन उत्पादन|मोमबत्ती बनाना|अगरबत्ती कारखाना
transport	auto rickshaw service|mini truck delivery|goods transport van|passenger taxi|last mile logistics|parcel courier delivery|school van business|வாகன போக்குவரத்து|ஆட்டோ ஓட்டுதல்|சரக்கு வண்டி சேவை|பார்சல் விநியோகம்|ऑटो रिक्शा|माल ढुलाई|टैक्सी सेवा|पार्सल डिलीवरी
services	digital seva centre|xerox printing shop|beauty parlour salon|barber hair cutting|laundry ironing service|tuition training centre|internet browsing centre|சேவை மையம்|இ சேவை ஜெராக்ஸ்|அழகு நிலையம்|சலவை கடை|सेवा केंद्र|फोटोकॉपी प्रिंटिंग|ब्यूटी पार्लर|कपड़े धुलाई
